"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRAC",803513,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRAL",3340932,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRAM",3938336,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRAP",766679,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRBA",15203934,0,0,0,0,20,1,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRCE",8904459,0.2,0.2,0,0,5,1,0.2,0.2,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRDF",2914830,0.028125,0.0288888888888889,0.00316455696202532,0.00181818181818182,320,12,0.028125,0.0288888888888889,0.00316455696202532,0.00181818181818182
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRES",3929911,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRFN",3061,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRGO",6610681,0.00847457627118644,0.00333333333333333,0,0,236,3,0.00847457627118644,0.00333333333333333,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRMA",6904241,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRMG",20869101,0.00951086956521739,0.0146666666666667,0.00595238095238095,0.0025,736,10,0.00951086956521739,0.0146666666666667,0.00595238095238095,0.0025
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRMS",2651235,0.1,0.1,0,0,10,1,0.1,0.1,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRMT",3265486,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRPA",8175113,0.256,0.265,0.02,0.0125,250,2,0.256,0.265,0.02,0.0125
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRPB",3972202,0.0133333333333333,0.0133333333333333,0,0,150,1,0.0133333333333333,0.0133333333333333,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRPE",9345173,0.104477611940299,0.07,0.0480769230769231,0.0333333333333333,134,4,0.104477611940299,0.07,0.0480769230769231,0.0333333333333333
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRPI",3204028,0,0,0,0,0,0,0,0,0,0
"BR",2020-05-27,204453710,0.0045045045045045,0,222,8,0.0431590374733003,4948,0.00520337402539485,4948,0.0414992103322805,0.00497994094345333,"BRPR",11163018,0.0340909090909091,0.0676923076923077,0.00191204588910134,0.00238095238095238,528,13,0.0340909090909091,0.0676923076923077,0.00191204588910134,0.00238095238095238
