"","yhat","yhat_lower","yhat_upper","trend","trend_lower","trend_upper","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active","y","date"
"1",1.28667136330739e-09,0,0.14341433268335,1.28667136330739e-09,1.28667136330739e-09,1.28667136330739e-09,"GI",33706,19,0,53,0,88,0,78,88,0.00261081113154928,0.00056369785794814,0.00231412804841868,0.00261081113154928,0,2020-04-03
"2",1.40023865210397e-09,0,0.15017909214693,1.40023865210397e-09,1.40023865210397e-09,1.40023865210397e-09,"GI",33706,7,0,40,0,95,0,80,95,0.0028184892897407,0.00020767815819142,0.0023734646650448,0.0028184892897407,0,2020-04-04
"3",1.52382989063574e-09,0,0.142461454956042,1.52382989063574e-09,1.52382989063574e-09,1.52382989063574e-09,"GI",33706,3,0,42,0,98,0,83,98,0.00290749421467988,8.900492493918e-05,0.00246246958998398,0.00290749421467988,0,2020-04-05
"4",1.65832983690957e-09,0,0.133084460834676,1.65832983690957e-09,1.65832983690957e-09,1.65832983690957e-09,"GI",33706,5,0,38,0,103,0,88,103,0.00305583575624518,0.0001483415415653,0.00261081113154928,0.00305583575624518,0,2020-04-06
"5",1.80470134157522e-09,0,0.142001639820881,1.80470134157522e-09,1.80470134157522e-09,1.80470134157522e-09,"GI",33706,6,0,40,0,109,0,83,99,0.00323384560612354,0.00017800984987836,0.00246246958998398,0.00293716252299294,0,2020-04-07
"6",1.96399224072633e-09,0,0.146978306449599,1.96399224072633e-09,1.96399224072633e-09,1.96399224072633e-09,"GI",33706,4,0,44,0,113,0,78,103,0.00335251883937578,0.00011867323325224,0.00231412804841868,0.00305583575624518,0,2020-04-08
"7",2.13734285709029e-09,0,0.146930986716586,2.13734285709029e-09,2.13734285709029e-09,2.13734285709029e-09,"GI",33706,7,0,51,0,120,0,65,110,0.0035601969975672,0.00020767815819142,0.0019284400403489,0.0032635139144366,0,2020-04-09
"8",2.32599416348327e-09,0,0.137819119063376,2.32599416348327e-09,2.32599416348327e-09,2.32599416348327e-09,"GI",33706,3,0,35,0,123,0,67,108,0.00364920192250638,8.900492493918e-05,0.00198777665697502,0.00320417729781048,0,2020-04-10
"9",2.53129666611539e-09,0,0.142082611641105,2.53129666611539e-09,2.53129666611539e-09,2.53129666611539e-09,"GI",33706,4,0,32,0,127,0,62,112,0.00376787515575862,0.00011867323325224,0.00183943511540972,0.00332285053106272,0,2020-04-11
"10",2.75472007299195e-09,0,0.15063332187036,2.75472007299195e-09,2.75472007299195e-09,2.75472007299195e-09,"GI",33706,2,0,31,0,129,0,60,114,0.00382721177238474,5.933661662612e-05,0.0017800984987836,0.00338218714768884,0,2020-04-12
"11",2.99786381502667e-09,0,0.146586180141055,2.99786381502667e-09,2.99786381502667e-09,2.99786381502667e-09,"GI",33706,0,0,26,0,129,0,60,103,0.00382721177238474,0,0.0017800984987836,0.00305583575624518,0,2020-04-13
"12",3.26246849595740e-09,0,0.144081165804815,3.26246849595740e-09,3.26246849595740e-09,3.26246849595740e-09,"GI",33706,0,0,20,0,129,0,60,94,0.00382721177238474,0,0.0017800984987836,0.00278882098142764,0,2020-04-14
"13",3.5504283528817e-09,0,0.149699695490459,3.5504283528817e-09,3.5504283528817e-09,3.5504283528817e-09,"GI",33706,0,0,16,0,129,0,41,74,0.00382721177238474,0,0.00121640064083546,0.00219545481516644,0,2020-04-15
"14",3.86380481661433e-09,0,0.136849815801402,3.86380481661433e-09,3.86380481661433e-09,3.86380481661433e-09,"GI",33706,2,0,11,0,131,0,36,75,0.00388654838901086,5.933661662612e-05,0.00106805909927016,0.0022251231234795,0,2020-04-16
"15",4.20484126894145e-09,0,0.147196392475945,4.20484126894145e-09,4.20484126894145e-09,4.20484126894145e-09,"GI",33706,2,0,10,0,133,0,35,68,0.00394588500563698,5.933661662612e-05,0.0010383907909571,0.00201744496528808,0,2020-04-17
"16",4.57597910241518e-09,0,0.149358440769515,4.57597910241518e-09,4.57597910241518e-09,4.57597910241518e-09,"GI",33706,0,0,6,0,133,0,30,64,0.00394588500563698,0,0.0008900492493918,0.00189877173203584,0,2020-04-18
"17",4.97987519765633e-09,0,0.143624136167548,4.97987519765633e-09,4.97987519765633e-09,4.97987519765633e-09,"GI",33706,0,0,4,0,133,0,24,64,0.00394588500563698,0,0.00071203939951344,0.00189877173203584,0,2020-04-19
"18",5.41942094515137e-09,0,0.137015955919593,5.41942094515137e-09,5.41942094515137e-09,5.41942094515137e-09,"GI",33706,0,0,4,0,133,0,20,64,0.00394588500563698,0,0.0005933661662612,0.00189877173203584,0,2020-04-20
"19",5.8977629386793e-09,0,0.144703718278833,5.8977629386793e-09,5.8977629386793e-09,5.8977629386793e-09,"GI",33706,0,0,4,0,133,0,13,45,0.00394588500563698,0,0.00038568800806978,0.0013350738740877,0,2020-04-21
"20",6.41832550597496e-09,0,0.152681748676012,6.41832550597496e-09,6.41832550597496e-09,6.41832550597496e-09,"GI",33706,0,0,4,0,133,0,10,38,0.00394588500563698,0,0.0002966830831306,0.00112739571589628,0,2020-04-22
"21",6.98483522103243e-09,0,0.151201508950657,6.98483522103243e-09,6.98483522103243e-09,6.98483522103243e-09,"GI",33706,0,0,2,0,133,0,6,35,0.00394588500563698,0,0.00017800984987836,0.0010383907909571,0,2020-04-23
"22",7.60134758169106e-09,0,0.142508575235973,7.60134758169106e-09,7.60134758169106e-09,7.60134758169106e-09,"GI",33706,0,0,0,0,133,0,4,30,0.00394588500563698,0,0.00011867323325224,0.0008900492493918,0,2020-04-24
"23",8.27227604190266e-09,0,0.145593628229894,8.27227604190266e-09,8.27227604190266e-09,8.27227604190266e-09,"GI",33706,0,0,0,0,133,0,4,24,0.00394588500563698,0,0.00011867323325224,0.00071203939951344,0,2020-04-25
"24",9.00242360651418e-09,0,0.140304758702742,9.00242360651418e-09,9.00242360651418e-09,9.00242360651418e-09,"GI",33706,3,0,3,0,136,0,7,23,0.00403488993057616,8.900492493918e-05,0.00020767815819142,0.00068237109120038,0,2020-04-26
"25",9.79701721474486e-09,0,0.142209895088682,9.79701721474486e-09,9.79701721474486e-09,9.79701721474486e-09,"GI",33706,5,0,8,0,141,0,12,21,0.00418323147214146,0.0001483415415653,0.00035601969975672,0.00062303447457426,0,2020-04-27
"26",1.06617451585001e-08,0,0.152613567444903,1.06617451585001e-08,1.06617451585001e-08,1.06617451585001e-08,"GI",33706,0,0,8,0,141,0,10,18,0.00418323147214146,0,0.0002966830831306,0.00053402954963508,0,2020-04-28
"27",1.160279780339e-08,0,0.136215504441243,1.160279780339e-08,1.160279780339e-08,1.160279780339e-08,"GI",33706,0,0,8,0,141,0,8,14,0.00418323147214146,0,0.00023734646650448,0.00041535631638284,0,2020-04-29
"28",1.2626911902252e-08,0,0.150275137249976,1.2626911902252e-08,1.2626911902252e-08,1.2626911902252e-08,"GI",33706,0,0,8,0,141,0,8,12,0.00418323147214146,0,0.00023734646650448,0.00035601969975672,0,2020-04-30
"29",1.37414188266765e-08,0,0.14918084003465,1.37414188266765e-08,1.37414188266765e-08,1.37414188266765e-08,"GI",33706,3,0,11,0,144,0,11,15,0.00427223639708064,8.900492493918e-05,0.00032635139144366,0.0004450246246959,0,2020-05-01
"30",1.49542970458264e-08,0,0.151326954477676,1.49542970458264e-08,1.49542970458264e-08,1.49542970458264e-08,"GI",33706,0,0,11,0,144,0,11,15,0.00427223639708064,0,0.00032635139144366,0.0004450246246959,0,2020-05-02
"31",1.62742292436871e-08,0,0.135377540242473,1.62742292436871e-08,1.62742292436871e-08,1.62742292436871e-08,"GI",33706,0,0,8,0,144,0,11,15,0.00427223639708064,0,0.00032635139144366,0.0004450246246959,0,2020-05-03
"32",1.77106644761632e-08,0,0.150054923242185,1.77106644761632e-08,1.77106644761632e-08,1.77106644761632e-08,"GI",33706,0,0,3,0,144,0,11,13,0.00427223639708064,0,0.00032635139144366,0.00038568800806978,0,2020-05-04
"33",1.92738858144321e-08,0,0.13921496339345,1.92738858144321e-08,1.92738858144321e-08,1.92738858144321e-08,"GI",33706,0,0,3,0,144,0,11,11,0.00427223639708064,0,0.00032635139144366,0.00032635139144366,0,2020-05-05
"34",2.09750839587964e-08,0,0.133676319484703,2.09750839587964e-08,2.09750839587964e-08,2.09750839587964e-08,"GI",33706,0,0,3,0,144,0,11,11,0.00427223639708064,0,0.00032635139144366,0.00032635139144366,0,2020-05-06
"35",2.2826437350017e-08,0,0.157510326205043,2.2826437350017e-08,2.2826437350017e-08,2.2826437350017e-08,"GI",33706,0,0,3,0,144,0,11,11,0.00427223639708064,0,0.00032635139144366,0.00032635139144366,0,2020-05-07
"36",2.48411993516231e-08,0,0.149659601869902,2.48411993516231e-08,2.48411993516231e-08,2.48411993516231e-08,"GI",33706,0,0,0,0,144,0,8,11,0.00427223639708064,0,0.00023734646650448,0.00032635139144366,0,2020-05-08
"37",2.70337931516874e-08,0,0.152095836648752,2.70337931516874e-08,2.70337931516874e-08,2.70337931516874e-08,"GI",33706,2,0,2,0,146,0,5,13,0.00433157301370676,5.933661662612e-05,0.0001483415415653,0.00038568800806978,0,2020-05-09
"38",2.94199149457002e-08,0,0.142320730395901,2.94199149457002e-08,2.94199149457002e-08,2.94199149457002e-08,"GI",33706,0,0,2,0,146,0,5,13,0.00433157301370676,0,0.0001483415415653,0.00038568800806978,0,2020-05-10
"39",3.20166463667968e-08,0,0.141289616821563,3.20166463667968e-08,3.20166463667968e-08,3.20166463667968e-08,"GI",33706,0,0,2,0,146,0,5,13,0.00433157301370676,0,0.0001483415415653,0.00038568800806978,0,2020-05-11
"40",3.48425767481596e-08,0,0.143826343559845,3.48425767481596e-08,3.48425767481596e-08,3.48425767481596e-08,"GI",33706,1,0,3,0,147,0,6,14,0.00436124132201982,2.966830831306e-05,0.00017800984987836,0.00041535631638284,0,2020-05-12
"41",3.79179361992305e-08,0,0.139751064186201,3.79179361992305e-08,3.79179361992305e-08,3.79179361992305e-08,"GI",33706,0,0,3,0,147,0,3,14,0.00436124132201982,0,8.900492493918e-05,0.00041535631638284,0,2020-05-13
"42",4.12647404278064e-08,0,0.151250737355861,4.12647404278064e-08,4.12647404278064e-08,4.12647404278064e-08,"GI",33706,0,0,3,0,147,0,3,11,0.00436124132201982,0,8.900492493918e-05,0.00032635139144366,0,2020-05-14
"43",4.4906948344764e-08,0,0.144678980704614,4.4906948344764e-08,4.4906948344764e-08,4.4906948344764e-08,"GI",33706,0,0,3,0,147,0,3,6,0.00436124132201982,0,8.900492493918e-05,0.00017800984987836,0,2020-05-15
"44",4.88706335796599e-08,0,0.15557816772946,4.88706335796599e-08,4.88706335796599e-08,4.88706335796599e-08,"GI",33706,0,0,1,0,147,0,3,6,0.00436124132201982,0,8.900492493918e-05,0.00017800984987836,0,2020-05-16
"45",5.31841711350401e-08,0,0.149656125679411,5.31841711350401e-08,5.31841711350401e-08,5.31841711350401e-08,"GI",33706,0,0,1,0,147,0,3,6,0.00436124132201982,0,8.900492493918e-05,0.00017800984987836,0,2020-05-17
"46",5.78784405156667e-08,0,0.141306195669132,5.78784405156667e-08,5.78784405156667e-08,5.78784405156667e-08,"GI",33706,0,0,1,0,147,0,3,6,0.00436124132201982,0,8.900492493918e-05,0.00017800984987836,0,2020-05-18
"47",6.29870467961272e-08,0,0.143708580046257,6.29870467961272e-08,6.29870467961272e-08,6.29870467961272e-08,"GI",33706,0,0,0,0,147,0,3,3,0.00436124132201982,0,8.900492493918e-05,8.900492493918e-05,0,2020-05-19
"48",6.85465611643599e-08,0,0.141481098580518,6.85465611643599e-08,6.85465611643599e-08,6.85465611643599e-08,"GI",33706,0,0,0,0,147,0,3,3,0.00436124132201982,0,8.900492493918e-05,8.900492493918e-05,0,2020-05-20
"49",7.45967827501181e-08,0,0.145337845133878,7.45967827501181e-08,7.45967827501181e-08,7.45967827501181e-08,"GI",33706,2,0,2,0,149,0,3,5,0.00442057793864594,5.933661662612e-05,8.900492493918e-05,0.0001483415415653,0,2020-05-21
"50",8.11810235285811e-08,0,0.140985654708166,8.11810235285811e-08,8.11810235285811e-08,8.11810235285811e-08,"GI",33706,2,0,4,0,151,0,5,7,0.00447991455527206,5.933661662612e-05,0.0001483415415653,0.00020767815819142,0,2020-05-22
"51",8.83464183793403e-08,0,0.149682530479691,8.83464183793403e-08,8.83464183793403e-08,8.83464183793403e-08,"GI",33706,0,0,4,0,151,0,5,7,0.00447991455527206,0,0.0001483415415653,0.00020767815819142,0,2020-05-23
"52",9.6144262512515e-08,0,0.142867801975434,9.6144262512515e-08,9.6144262512515e-08,9.6144262512515e-08,"GI",33706,0,0,4,0,151,0,4,7,0.00447991455527206,0,0.00011867323325224,0.00020767815819142,0,2020-05-24
"53",1.04630378677531e-07,0,0.13803424245382,1.04630378677531e-07,1.04630378677531e-07,1.04630378677531e-07,"GI",33706,0,0,4,0,151,0,4,7,0.00447991455527206,0,0.00011867323325224,0.00020767815819142,0,2020-05-25
"54",1.13865516783301e-07,0,0.142966678111226,1.13865516783301e-07,1.13865516783301e-07,1.13865516783301e-07,"GI",33706,4,0,8,0,155,0,8,11,0.0045985877885243,0.00011867323325224,0.00023734646650448,0.00032635139144366,0,2020-05-26
"55",1.23915788790572e-07,0,0.142180251797097,1.23915788790572e-07,1.23915788790572e-07,1.23915788790572e-07,"GI",33706,0,0,8,0,155,0,8,9,0.0045985877885243,0,0.00023734646650448,0.00026701477481754,0,2020-05-27
"56",1.34853141989699e-07,0,0.146175142352951,1.34853141989699e-07,1.34853141989699e-07,1.34853141989699e-07,"GI",33706,2,0,8,0,157,0,10,11,0.00465792440515042,5.933661662612e-05,0.0002966830831306,0.00032635139144366,0,2020-05-28
