"","cutoff","date","lag","predType","fit_resp","right_lwr","right_upr","strawman","scaled_abs_err"
"1",2020-09-11,2020-09-12,1,"nearFuture",2.5527627599966,1.63099754139706,3.99546752427568,2,0.815745474752643
"2",2020-09-11,2020-09-13,2,"nearFuture",1.56024853214889,0.826230237286361,2.94636455096115,2,1.14658344042256
"3",2020-09-11,2020-09-14,3,"nearFuture",1.38326437575974,0.700404241984419,2.73187998951117,2,1.20557813955404
"4",2020-09-11,2020-09-15,4,"nearFuture",1.61547915859085,0.93203719707299,2.80007377391936,2,1.12817323774531
"5",2020-09-11,2020-09-16,5,"nearFuture",1.95115679311701,1.23356979399062,3.0861754639848,2,1.01628073020075
"6",2020-09-11,2020-09-17,6,"nearFuture",3.47818681499587,1.76866025721734,6.84008331766595,2,0.507270892577745
"7",2020-09-11,2020-09-18,7,"nearFuture",1.88754363171142,1.38512536881604,2.57220107423179,2,1.03748511026782
"8",2020-09-11,2020-11-03,53,"farFuture",4.01408681322365,2.74953851871852,5.86021720896124,NA,NA
"9",2020-09-11,2020-11-06,56,"farFuture",3.28938628809791,1.79377529894559,6.0320053234576,NA,NA
"10",2020-09-11,2020-11-08,58,"farFuture",2.40211946315138,1.31563620586546,4.38584609447936,NA,NA
"11",2020-09-11,2020-11-04,54,"farFuture",2.86710613502762,1.33461297713133,6.1593118981819,NA,NA
"12",2020-09-11,2020-11-09,59,"farFuture",0.925157466856985,0.444079700244418,1.9273935242033,NA,NA
"13",2020-09-11,2020-11-13,63,"farFuture",2.45401708712219,1.0922646626896,5.51349876050968,NA,NA
"14",2020-09-11,2020-11-15,65,"farFuture",1.40533920941211,0.683914617593991,2.88775563894074,NA,NA
"15",2020-09-11,2020-11-17,67,"farFuture",2.94922670111923,1.93167886981917,4.50278680918057,NA,NA
"16",2020-09-11,2020-09-12,1,"nearFar",2.5527627599966,1.63099754139706,3.99546752427568,NA,NA
"17",2020-09-11,2020-09-13,2,"nearFar",1.56024853214889,0.826230237286361,2.94636455096115,NA,NA
"18",2020-09-11,2020-09-14,3,"nearFar",1.38326437575974,0.700404241984419,2.73187998951117,NA,NA
"19",2020-09-11,2020-09-15,4,"nearFar",1.61547915859085,0.93203719707299,2.80007377391936,NA,NA
"20",2020-09-11,2020-09-16,5,"nearFar",1.95115679311701,1.23356979399062,3.0861754639848,NA,NA
"21",2020-09-11,2020-09-17,6,"nearFar",3.47818681499587,1.76866025721734,6.84008331766595,NA,NA
"22",2020-09-11,2020-09-18,7,"nearFar",1.88754363171142,1.38512536881604,2.57220107423179,NA,NA
"23",2020-09-11,2020-09-12,1,"nearFar",2.5527627599966,1.63099754139706,3.99546752427568,NA,NA
"24",2020-09-11,2020-09-13,2,"nearFar",1.56024853214889,0.826230237286361,2.94636455096115,NA,NA
"25",2020-09-11,2020-09-14,3,"nearFar",1.38326437575974,0.700404241984419,2.73187998951117,NA,NA
"26",2020-09-11,2020-09-15,4,"nearFar",1.61547915859085,0.93203719707299,2.80007377391936,NA,NA
"27",2020-09-11,2020-09-16,5,"nearFar",1.95115679311701,1.23356979399062,3.0861754639848,NA,NA
"28",2020-09-11,2020-09-17,6,"nearFar",3.47818681499587,1.76866025721734,6.84008331766595,NA,NA
"29",2020-09-11,2020-09-18,7,"nearFar",1.88754363171142,1.38512536881604,2.57220107423179,NA,NA
"30",2020-09-26,2020-09-27,1,"nearFuture",2.79392238397987,1.72449616912341,4.52654081085706,2,0.206077409942718
